ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4d3E00000001yXQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,Service Coordinator,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000265,,,;Unlock_vod;,,,
a4d3E000000022UQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Approved_vod,,,,,EPL -0000000306,,,;Edit;Delete;,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
a4d3E00000001zVQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000273,,,,EM_Event_Material_vod,Simple Material,
a4d3E00000001zGQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000270,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
a4d3E00000001xjQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_PrePostEvent,Pre-Event,,BMS Expense Estimate Layout,BMS Simple Expense Header Layout,BMS Simple Expense Line Layout,EPL -0000000255,,,;Edit;PostEvent;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;,,,
a4d3E00000001yNQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000264,,,,,,
a4d3E000000022PQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_ApprovedPostEvent,Post-Event-PostApproval,,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -00000003044,,,;Replan_BMS;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;,,,
a4d3E00000001zLQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000271,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,
a4d3E00000001z6QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000268,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,
a4d3E000000021vQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -0000000299,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E00000001zBQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -0000000269,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,
a4d3E00000001ycQAA,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,,BMS Expense Estimate Read Only,BMS Simple Expense Header ReadOnly Layout,BMS Simple Expense Line Readonly Layout,EPL -0000000266,00ed00000019hV7AAI,System Administrator,;Unlock_vod;,,,
a4d3E000000021MQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pending_Approval_vod,,,,,EPL -0000000292,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,
a4d3E0000000209QAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,Read Only,,,,EPL -0000000281,,,,EM_Event_Material_vod,Simple Material,
a4d3E00000001zQQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -0000000272,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E00000001zuQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,,,,,EPL -0000000999,,,;Delete;,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
